name,type,level_rank,race,attribute,atk,def
Multiple Piece Golem,Fusion Monster,7,Rock,EARTH,2600,1300
Queen s Knight,Normal Monster,4,Warrior,LIGHT,1500,1600
Chiwen Light of the Yang Zing,Tuner Monster,1,Wyrm,LIGHT,0,0
Spirit of Flames,Effect Monster,4,Pyro,FIRE,1700,1000
Geo Genex,Synchro Monster,6,Machine,EARTH,1800,2800
Crystal Beast Topaz Tiger,Effect Monster,4,Beast,EARTH,1600,1000
Shadowpriestess of Ohm,Effect Monster,4,Spellcaster,DARK,1700,1600
Red Rising Dragon,Synchro Monster,6,Dragon,DARK,2100,1600
Ljosalf of the Nordic Alfar,Effect Monster,4,Spellcaster,LIGHT,1400,1200
Spy-C-Spy,Effect Monster,3,Warrior,FIRE,1200,1300
The Legendary Fisherman III,Effect Monster,7,Warrior,WATER,2500,2000
Sangan,Effect Monster,3,Fiend,DARK,1000,600
Change Slime,Normal Monster,1,Aqua,WATER,400,300
Moon Envoy,Normal Monster,4,Warrior,LIGHT,1100,1000
Queen of Autumn Leaves,Normal Monster,5,Plant,EARTH,1800,1500
Eyearmor,Normal Monster,2,Warrior,EARTH,600,500
Greenkappa,Flip Effect Monster,3,Warrior,DARK,650,900
Flower Cardian Zebra Grass with Moon,Effect Monster,8,Warrior,DARK,2000,2000
Rocket Warrior,Effect Monster,4,Warrior,LIGHT,1500,1300
Numen erat Testudo,Effect Monster,5,Aqua,WATER,1800,0
Chocolate Magician Girl,Effect Monster,4,Spellcaster,WATER,1600,1000
Dragunity Brandistock,Tuner Monster,1,Dragon,WIND,600,400
Justice Bringer,Effect Monster,4,Warrior,EARTH,1700,1000
Crystal Beast Emerald Tortoise,Effect Monster,3,Aqua,WATER,600,2000
Hand of Nephthys,Effect Monster,2,Spellcaster,WIND,600,600
Uminotaurus,Effect Monster,4,Aqua,WATER,1700,1000
Genesis Dragon,Effect Monster,6,Dragon,LIGHT,2200,1800
Performage Hat Tricker,Effect Monster,4,Spellcaster,EARTH,1100,1100
Assault Blackwing - Kunai the Drizzle,Effect Monster,5,Winged Beast,DARK,2100,1600
Mira the Star-Bearer,XYZ Monster,1,Warrior,LIGHT,1100,1000
Kinka-byo,Spirit Monster,1,Beast,DARK,400,200
Turbo Warrior,Synchro Monster,6,Warrior,WIND,2500,1500
Skull Red Bird,Normal Monster,4,Winged Beast,WIND,1550,1200
Mermail Abyssmegalo,Effect Monster,7,Sea Serpent,WATER,2400,1900
Phoenix Beast Gairuda,Effect Monster,6,Winged Beast,WIND,2500,1200
Shire Lightsworn Spirit,Effect Monster,3,Fairy,LIGHT,400,1400
Giant Flea,Normal Monster,4,Insect,EARTH,1500,1200
Flame Swordsman,Fusion Monster,5,Warrior,FIRE,1800,1600
Creation Resonator,Tuner Monster,3,Fiend,WIND,800,600
Noble Knight Bedwyr,Effect Monster,4,Warrior,LIGHT,1600,1500
Armed Sea Hunter,Effect Monster,4,Sea Serpent,WATER,1800,400
Guard Dog,Flip Effect Monster,3,Beast,EARTH,1500,500
Darklord Ixchel,Effect Monster,10,Fairy,DARK,2500,2900
Bee List Soldier,Effect Monster,1,Insect,WIND,500,400
Naturia Stinkbug,Tuner Monster,3,Insect,EARTH,200,500
Atlantean Attack Squad,Effect Monster,3,Sea Serpent,WATER,1400,0
Big Jaws,Effect Monster,3,Fish,WATER,1800,300
Garbage Ogre,Effect Monster,3,Fiend,DARK,800,1300
Leo the Keeper of the Sacred Tree,Synchro Monster,10,Beast,EARTH,3100,1900
Laval Cannon,Effect Monster,4,Warrior,FIRE,1600,900
Rinyan Lightsworn Rogue,Flip Effect Monster,2,Beast,LIGHT,100,100
Djinn Prognosticator of Rituals,Effect Monster,3,Fiend,DARK,400,300
Cyber Dragon,Effect Monster,5,Machine,LIGHT,2100,1600
Fabled Valkyrus,Synchro Monster,8,Fiend,LIGHT,2900,1700
Noble Knight Joan,Effect Monster,4,Warrior,LIGHT,1900,1300
Elemental HERO Dark Neos,Fusion Monster,7,Warrior,DARK,2500,2000
Gladiator Beast Lanista,Effect Monster,4,Winged Beast,WIND,1800,1200
Ritual Beast Ulti-Gaiapelio,Fusion Monster,10,Psychic,LIGHT,3200,2100
Superheavy Samurai Battleball,Tuner Monster,2,Machine,DARK,100,800
Gene-Warped Warwolf,Normal Monster,4,Beast-Warrior,EARTH,2000,100
Abyss Dweller,XYZ Monster,4,Sea Serpent,WATER,1700,1400
Megazowler,Normal Monster,6,Dinosaur,EARTH,1800,2000
Pitch-Black Warwolf,Effect Monster,4,Beast-Warrior,DARK,1600,600
Dystopia the Despondent,Effect Monster,12,Fiend,DARK,5000,5000
Schwarzschild Limit Dragon,Effect Monster,8,Dragon,DARK,2000,0
Lesser Fiend,Effect Monster,5,Fiend,DARK,2100,1000
Monsturtle,Normal Monster,3,Aqua,WATER,800,1000
Wicked Dragon with the Ersatz Head,Normal Monster,3,Dragon,WIND,900,900
Turtle Tiger,Normal Monster,4,Aqua,WATER,1000,1500
Volcanic Slicer,Effect Monster,4,Pyro,FIRE,1800,1200
Performapal Pendulum Sorcerer,Pendulum Effect Monster,4,Spellcaster,EARTH,1500,800
Ancient Gear Gadjiltron Dragon,Effect Monster,8,Machine,EARTH,3000,2000
Snowdust Dragon,Effect Monster,8,Dragon,WATER,2800,1800
Protector with Eyes of Blue,Tuner Monster,1,Spellcaster,LIGHT,800,1300
Grandsoil the Elemental Lord,Effect Monster,8,Beast-Warrior,EARTH,2800,2200
The Phantom Knights of Ragged Gloves,Effect Monster,3,Warrior,DARK,1000,500
Roulette Barrel,Effect Monster,4,Machine,LIGHT,1000,2000
Ojama Yellow,Normal Monster,2,Beast,LIGHT,0,1000
Lucius the Shadow Vassal,Effect Monster,1,Fiend,DARK,800,1000
Worm Prince,Effect Monster,6,Reptile,LIGHT,2200,400
Evil HERO Infernal Prodigy,Effect Monster,2,Fiend,DARK,300,600
Ghostrick Yuki-onna,Effect Monster,2,Spellcaster,DARK,1000,800
Tyhone 2,Normal Monster,6,Dragon,FIRE,1700,1900
Wisdom-Eye Magician,Pendulum Effect Monster,4,Spellcaster,LIGHT,1500,1500
Koa ki Meiru Valafar,Effect Monster,8,Fiend,FIRE,3000,2100
Laval Lancelord,Effect Monster,6,Warrior,FIRE,2100,200
Sephylon the Ultimate Timelord,Effect Monster,10,Fairy,LIGHT,4000,4000
Dragunity Partisan,Tuner Monster,2,Dragon,WIND,1200,800
Vylon Sphere,Tuner Monster,1,Machine,LIGHT,400,400
Pragtical,Fusion Monster,5,Dinosaur,EARTH,1900,1500
Gladiator Beast Octavius,Effect Monster,7,Winged Beast,LIGHT,2500,1200
Heroic Challenger - Spartan,Effect Monster,4,Warrior,EARTH,1600,1000
M-X-Saber Invoker,XYZ Monster,3,Warrior,EARTH,1600,500
Arcana Force EX - The Dark Ruler,Effect Monster,10,Fairy,LIGHT,4000,4000
Elemental HERO Darkbright,Fusion Monster,6,Warrior,DARK,2000,1000
Magical Android,Synchro Monster,5,Psychic,LIGHT,2400,1700
Laval Stennon,Synchro Monster,7,Pyro,FIRE,2700,1800
Coach Soldier Wolfbark,Effect Monster,4,Beast-Warrior,FIRE,1600,1200
Turbo Booster,Effect Monster,1,Machine,EARTH,0,0
Darkflare Dragon,Effect Monster,5,Dragon,DARK,2400,1200
Fairy Tail - Snow,Effect Monster,4,Spellcaster,LIGHT,1850,1000
Windrose the Elemental Lord,Effect Monster,8,Winged Beast,WIND,2800,2200
T.G. Power Gladiator,Synchro Monster,5,Warrior,EARTH,2300,1000
Eidos the Underworld Squire,Effect Monster,2,Spellcaster,DARK,800,1000
Coach Goblin,Effect Monster,4,Fiend,EARTH,1200,1500
Golden Flying Fish,Effect Monster,4,Fish,LIGHT,1700,1000
Iron Chain Repairman,Effect Monster,4,Warrior,EARTH,1600,1200
Dark Magician,Normal Monster,7,Spellcaster,DARK,2500,2100
Rage of the Deep Sea,Effect Monster,5,Fish,WATER,0,0
Vorse Raider,Normal Monster,4,Beast-Warrior,DARK,1900,1200
Summoned Skull,Normal Monster,6,Fiend,DARK,2500,1200
Mirror Resonator,Tuner Monster,1,Fiend,LIGHT,0,0
Giltia the D. Knight,Fusion Monster,5,Warrior,LIGHT,1850,1500
Magical Merchant,Flip Effect Monster,1,Insect,LIGHT,200,700
Lionhearted Locomotive,Effect Monster,4,Machine,EARTH,2400,2100
Swarm of Scarabs,Effect Monster,3,Insect,DARK,500,1000
Lightning Rod Lord,Effect Monster,4,Thunder,LIGHT,1800,100
Obelisk the Tormentor,Effect Monster,10,Divine-Beast,DIVINE,4000,4000
Dorover,Normal Monster,3,Aqua,WATER,900,800
Evolzar Dolkka,XYZ Monster,4,Dragon,FIRE,2300,1700
Battlin  Boxer Veil,Effect Monster,4,Warrior,FIRE,0,1800
Black Salvo,Tuner Monster,3,Machine,DARK,100,1100
Mechanical Snail,Normal Monster,3,Machine,DARK,800,1000
Performapal Splashmammoth,Pendulum Effect Monster,6,Beast,WATER,1900,2300
Banisher of the Light,Effect Monster,3,Fairy,LIGHT,100,2000
Ra s Disciple,Effect Monster,4,Fairy,LIGHT,1100,600
Elemental HERO Escuridao,Fusion Monster,8,Warrior,DARK,2500,2000
Charging Gaia the Fierce Knight,Effect Monster,7,Warrior,LIGHT,2300,2100
Earthbound Linewalker,Effect Monster,4,Fiend,DARK,1200,1900
Umbral Horror Ghost,Effect Monster,2,Fiend,DARK,200,200
Versago the Destroyer,Effect Monster,3,Fiend,DARK,1100,900
Spirit of the Six Samurai,Union Effect Monster,3,Warrior,EARTH,500,500
Performapal Sleight Hand Magician,Effect Monster,7,Spellcaster,LIGHT,2500,2000
Mermail Abysstrite,XYZ Monster,3,Sea Serpent,WATER,1600,2800
Apoqliphort Towers,Effect Monster,10,Machine,EARTH,3000,2600
Blocker,Normal Monster,4,Machine,DARK,850,1800
Gamma the Magnet Warrior,Normal Monster,4,Rock,EARTH,1500,1800
Flame Swordsman,Fusion Monster,5,Warrior,FIRE,1800,1600
Frozen Fitzgerald,Synchro Monster,5,Fiend,WATER,2500,2500
Goyo Defender,Synchro Monster,3,Warrior,EARTH,1000,1000
Anti-Aircraft Flower,Effect Monster,3,Plant,EARTH,0,1600
Scarlight Red Dragon Archfiend,Synchro Monster,8,Dragon,DARK,3000,2500
